time_window_start,time_stamps,label_0nonDF_1DF
2017-05-18 00:00:00,1495065600.0,0
2017-05-18 00:01:00,1495065660.0,0
2017-05-18 00:02:00,1495065720.0,0
2017-05-18 00:03:00,1495065780.0,0
2017-05-18 00:04:00,1495065840.0,0
2017-05-18 00:05:00,1495065900.0,0
2017-05-18 00:06:00,1495065960.0,0
2017-05-18 00:07:00,1495066020.0,0
2017-05-18 00:08:00,1495066080.0,0
2017-05-18 00:09:00,1495066140.0,0
2017-05-18 00:10:00,1495066200.0,0
2017-05-18 00:11:00,1495066260.0,0
2017-05-18 00:12:00,1495066320.0,0
2017-05-18 00:13:00,1495066380.0,0
2017-05-18 00:14:00,1495066440.0,0
2017-05-18 00:15:00,1495066500.0,0
2017-05-18 00:16:00,1495066560.0,0
2017-05-18 00:17:00,1495066620.0,0
2017-05-18 00:18:00,1495066680.0,0
2017-05-18 00:19:00,1495066740.0,0
2017-05-18 00:20:00,1495066800.0,0
2017-05-18 00:21:00,1495066860.0,0
2017-05-18 00:22:00,1495066920.0,0
2017-05-18 00:23:00,1495066980.0,0
2017-05-18 00:24:00,1495067040.0,0
2017-05-18 00:25:00,1495067100.0,0
2017-05-18 00:26:00,1495067160.0,0
2017-05-18 00:27:00,1495067220.0,0
2017-05-18 00:28:00,1495067280.0,0
2017-05-18 00:29:00,1495067340.0,0
2017-05-18 00:30:00,1495067400.0,0
2017-05-18 00:31:00,1495067460.0,0
2017-05-18 00:32:00,1495067520.0,0
2017-05-18 00:33:00,1495067580.0,0
2017-05-18 00:34:00,1495067640.0,0
2017-05-18 00:35:00,1495067700.0,0
2017-05-18 00:36:00,1495067760.0,0
2017-05-18 00:37:00,1495067820.0,0
2017-05-18 00:38:00,1495067880.0,0
2017-05-18 00:39:00,1495067940.0,0
2017-05-18 00:40:00,1495068000.0,0
2017-05-18 00:41:00,1495068060.0,0
2017-05-18 00:42:00,1495068120.0,0
2017-05-18 00:43:00,1495068180.0,0
2017-05-18 00:44:00,1495068240.0,0
2017-05-18 00:45:00,1495068300.0,0
2017-05-18 00:46:00,1495068360.0,0
2017-05-18 00:47:00,1495068420.0,0
2017-05-18 00:48:00,1495068480.0,0
2017-05-18 00:49:00,1495068540.0,0
2017-05-18 00:50:00,1495068600.0,0
2017-05-18 00:51:00,1495068660.0,0
2017-05-18 00:52:00,1495068720.0,0
2017-05-18 00:53:00,1495068780.0,0
2017-05-18 00:54:00,1495068840.0,0
2017-05-18 00:55:00,1495068900.0,0
2017-05-18 00:56:00,1495068960.0,0
2017-05-18 00:57:00,1495069020.0,0
2017-05-18 00:58:00,1495069080.0,0
2017-05-18 00:59:00,1495069140.0,0
2017-05-18 01:00:00,1495069200.0,0
2017-05-18 01:01:00,1495069260.0,0
2017-05-18 01:02:00,1495069320.0,0
2017-05-18 01:03:00,1495069380.0,0
2017-05-18 01:04:00,1495069440.0,0
2017-05-18 01:05:00,1495069500.0,0
2017-05-18 01:06:00,1495069560.0,0
2017-05-18 01:07:00,1495069620.0,0
2017-05-18 01:08:00,1495069680.0,0
2017-05-18 01:09:00,1495069740.0,0
2017-05-18 01:10:00,1495069800.0,0
2017-05-18 01:11:00,1495069860.0,0
2017-05-18 01:12:00,1495069920.0,0
2017-05-18 01:13:00,1495069980.0,0
2017-05-18 01:14:00,1495070040.0,0
2017-05-18 01:15:00,1495070100.0,0
2017-05-18 01:16:00,1495070160.0,0
2017-05-18 01:17:00,1495070220.0,0
2017-05-18 01:18:00,1495070280.0,0
2017-05-18 01:19:00,1495070340.0,0
2017-05-18 01:20:00,1495070400.0,0
2017-05-18 01:21:00,1495070460.0,0
2017-05-18 01:22:00,1495070520.0,0
2017-05-18 01:23:00,1495070580.0,0
2017-05-18 01:24:00,1495070640.0,0
2017-05-18 01:25:00,1495070700.0,0
2017-05-18 01:26:00,1495070760.0,0
2017-05-18 01:27:00,1495070820.0,0
2017-05-18 01:28:00,1495070880.0,0
2017-05-18 01:29:00,1495070940.0,0
2017-05-18 01:30:00,1495071000.0,0
2017-05-18 01:31:00,1495071060.0,0
2017-05-18 01:32:00,1495071120.0,0
2017-05-18 01:33:00,1495071180.0,0
2017-05-18 01:34:00,1495071240.0,0
2017-05-18 01:35:00,1495071300.0,0
2017-05-18 01:36:00,1495071360.0,0
2017-05-18 01:37:00,1495071420.0,0
2017-05-18 01:38:00,1495071480.0,0
2017-05-18 01:39:00,1495071540.0,0
2017-05-18 01:40:00,1495071600.0,0
2017-05-18 01:41:00,1495071660.0,0
2017-05-18 01:42:00,1495071720.0,0
2017-05-18 01:43:00,1495071780.0,0
2017-05-18 01:44:00,1495071840.0,0
2017-05-18 01:45:00,1495071900.0,0
2017-05-18 01:46:00,1495071960.0,0
2017-05-18 01:47:00,1495072020.0,0
2017-05-18 01:48:00,1495072080.0,0
2017-05-18 01:49:00,1495072140.0,0
2017-05-18 01:50:00,1495072200.0,0
2017-05-18 01:51:00,1495072260.0,0
2017-05-18 01:52:00,1495072320.0,0
2017-05-18 01:53:00,1495072380.0,0
2017-05-18 01:54:00,1495072440.0,0
2017-05-18 01:55:00,1495072500.0,0
2017-05-18 01:56:00,1495072560.0,0
2017-05-18 01:57:00,1495072620.0,0
2017-05-18 01:58:00,1495072680.0,0
2017-05-18 01:59:00,1495072740.0,0
2017-05-18 02:00:00,1495072800.0,0
2017-05-18 02:01:00,1495072860.0,0
2017-05-18 02:02:00,1495072920.0,0
2017-05-18 02:03:00,1495072980.0,0
2017-05-18 02:04:00,1495073040.0,0
2017-05-18 02:05:00,1495073100.0,0
2017-05-18 02:06:00,1495073160.0,0
2017-05-18 02:07:00,1495073220.0,0
2017-05-18 02:08:00,1495073280.0,0
2017-05-18 02:09:00,1495073340.0,0
2017-05-18 02:10:00,1495073400.0,0
2017-05-18 02:11:00,1495073460.0,0
2017-05-18 02:12:00,1495073520.0,0
2017-05-18 02:13:00,1495073580.0,0
2017-05-18 02:14:00,1495073640.0,0
2017-05-18 02:15:00,1495073700.0,0
2017-05-18 02:16:00,1495073760.0,0
2017-05-18 02:17:00,1495073820.0,0
2017-05-18 02:18:00,1495073880.0,0
2017-05-18 02:19:00,1495073940.0,0
2017-05-18 02:20:00,1495074000.0,0
2017-05-18 02:21:00,1495074060.0,0
2017-05-18 02:22:00,1495074120.0,0
2017-05-18 02:23:00,1495074180.0,0
2017-05-18 02:24:00,1495074240.0,0
2017-05-18 02:25:00,1495074300.0,0
2017-05-18 02:26:00,1495074360.0,0
2017-05-18 02:27:00,1495074420.0,0
2017-05-18 02:28:00,1495074480.0,0
2017-05-18 02:29:00,1495074540.0,0
2017-05-18 02:30:00,1495074600.0,0
2017-05-18 02:31:00,1495074660.0,0
2017-05-18 02:32:00,1495074720.0,0
2017-05-18 02:33:00,1495074780.0,0
2017-05-18 02:34:00,1495074840.0,0
2017-05-18 02:35:00,1495074900.0,0
2017-05-18 02:36:00,1495074960.0,0
2017-05-18 02:37:00,1495075020.0,0
2017-05-18 02:38:00,1495075080.0,0
2017-05-18 02:39:00,1495075140.0,0
2017-05-18 02:40:00,1495075200.0,0
2017-05-18 02:41:00,1495075260.0,0
2017-05-18 02:42:00,1495075320.0,0
2017-05-18 02:43:00,1495075380.0,0
2017-05-18 02:44:00,1495075440.0,0
2017-05-18 02:45:00,1495075500.0,0
2017-05-18 02:46:00,1495075560.0,0
2017-05-18 02:47:00,1495075620.0,0
2017-05-18 02:48:00,1495075680.0,0
2017-05-18 02:49:00,1495075740.0,0
2017-05-18 02:50:00,1495075800.0,0
2017-05-18 02:51:00,1495075860.0,0
2017-05-18 02:52:00,1495075920.0,0
2017-05-18 02:53:00,1495075980.0,0
2017-05-18 02:54:00,1495076040.0,0
2017-05-18 02:55:00,1495076100.0,0
2017-05-18 02:56:00,1495076160.0,0
2017-05-18 02:57:00,1495076220.0,0
2017-05-18 02:58:00,1495076280.0,0
2017-05-18 02:59:00,1495076340.0,0
2017-05-18 03:00:00,1495076400.0,0
2017-05-18 03:01:00,1495076460.0,0
2017-05-18 03:02:00,1495076520.0,0
2017-05-18 03:03:00,1495076580.0,0
2017-05-18 03:04:00,1495076640.0,0
2017-05-18 03:05:00,1495076700.0,0
2017-05-18 03:06:00,1495076760.0,0
2017-05-18 03:07:00,1495076820.0,0
2017-05-18 03:08:00,1495076880.0,0
2017-05-18 03:09:00,1495076940.0,0
2017-05-18 03:10:00,1495077000.0,0
2017-05-18 03:11:00,1495077060.0,0
2017-05-18 03:12:00,1495077120.0,0
2017-05-18 03:13:00,1495077180.0,0
2017-05-18 03:14:00,1495077240.0,0
2017-05-18 03:15:00,1495077300.0,0
2017-05-18 03:16:00,1495077360.0,0
2017-05-18 03:17:00,1495077420.0,0
2017-05-18 03:18:00,1495077480.0,0
2017-05-18 03:19:00,1495077540.0,0
2017-05-18 03:20:00,1495077600.0,0
2017-05-18 03:21:00,1495077660.0,0
2017-05-18 03:22:00,1495077720.0,0
2017-05-18 03:23:00,1495077780.0,0
2017-05-18 03:24:00,1495077840.0,0
2017-05-18 03:25:00,1495077900.0,0
2017-05-18 03:26:00,1495077960.0,0
2017-05-18 03:27:00,1495078020.0,0
2017-05-18 03:28:00,1495078080.0,0
2017-05-18 03:29:00,1495078140.0,0
2017-05-18 03:30:00,1495078200.0,0
2017-05-18 03:31:00,1495078260.0,0
2017-05-18 03:32:00,1495078320.0,0
2017-05-18 03:33:00,1495078380.0,0
2017-05-18 03:34:00,1495078440.0,0
2017-05-18 03:35:00,1495078500.0,0
2017-05-18 03:36:00,1495078560.0,0
2017-05-18 03:37:00,1495078620.0,0
2017-05-18 03:38:00,1495078680.0,0
2017-05-18 03:39:00,1495078740.0,0
2017-05-18 03:40:00,1495078800.0,0
2017-05-18 03:41:00,1495078860.0,0
2017-05-18 03:42:00,1495078920.0,0
2017-05-18 03:43:00,1495078980.0,0
2017-05-18 03:44:00,1495079040.0,0
2017-05-18 03:45:00,1495079100.0,0
2017-05-18 03:46:00,1495079160.0,0
2017-05-18 03:47:00,1495079220.0,0
2017-05-18 03:48:00,1495079280.0,0
2017-05-18 03:49:00,1495079340.0,0
2017-05-18 03:50:00,1495079400.0,0
2017-05-18 03:51:00,1495079460.0,0
2017-05-18 03:52:00,1495079520.0,0
2017-05-18 03:53:00,1495079580.0,0
2017-05-18 03:54:00,1495079640.0,0
2017-05-18 03:55:00,1495079700.0,0
2017-05-18 03:56:00,1495079760.0,0
2017-05-18 03:57:00,1495079820.0,0
2017-05-18 03:58:00,1495079880.0,0
2017-05-18 03:59:00,1495079940.0,0
2017-05-18 04:00:00,1495080000.0,0
2017-05-18 04:01:00,1495080060.0,0
2017-05-18 04:02:00,1495080120.0,0
2017-05-18 04:03:00,1495080180.0,0
2017-05-18 04:04:00,1495080240.0,0
2017-05-18 04:05:00,1495080300.0,0
2017-05-18 04:06:00,1495080360.0,0
2017-05-18 04:07:00,1495080420.0,0
2017-05-18 04:08:00,1495080480.0,0
2017-05-18 04:09:00,1495080540.0,0
2017-05-18 04:10:00,1495080600.0,0
2017-05-18 04:11:00,1495080660.0,0
2017-05-18 04:12:00,1495080720.0,0
2017-05-18 04:13:00,1495080780.0,0
2017-05-18 04:14:00,1495080840.0,0
2017-05-18 04:15:00,1495080900.0,0
2017-05-18 04:16:00,1495080960.0,0
2017-05-18 04:17:00,1495081020.0,0
2017-05-18 04:18:00,1495081080.0,0
2017-05-18 04:19:00,1495081140.0,0
2017-05-18 04:20:00,1495081200.0,0
2017-05-18 04:21:00,1495081260.0,0
2017-05-18 04:22:00,1495081320.0,0
2017-05-18 04:23:00,1495081380.0,0
2017-05-18 04:24:00,1495081440.0,0
2017-05-18 04:25:00,1495081500.0,0
2017-05-18 04:26:00,1495081560.0,0
2017-05-18 04:27:00,1495081620.0,0
2017-05-18 04:28:00,1495081680.0,0
2017-05-18 04:29:00,1495081740.0,0
2017-05-18 04:30:00,1495081800.0,0
2017-05-18 04:31:00,1495081860.0,0
2017-05-18 04:32:00,1495081920.0,0
2017-05-18 04:33:00,1495081980.0,0
2017-05-18 04:34:00,1495082040.0,0
2017-05-18 04:35:00,1495082100.0,0
